UPC,BRAND,BRAND VARIANT,PROMOTION,PRODUCT COUNT,PACK COUNT,SHAPE,SIZE,PRICE,COMMENT,VIEW
999999996206,SUNSWEET,FRUIT PACK DATES,,1 COUNT,1 PACK,POUCH,0.7 OZ,2.98,,
999999996205,BIGS,ZESTY RANCH SUNFLOWER SEEDS,,1 COUNT,1 PACK,POUCH,,,,
999999996204,OCEAN SPRAY,DRIED CRANBERRIES,50% LESS SUGAR,1 COUNT,1 PACK,POUCH,,,,
999999996203,SUNSWEET,AMAZIN PRUNES PITTED,,1 COUNT,1 PACK,POUCH,,,,
999999996202,BLUE DIAMOND,BOLD SALT AND VINEGAR ALMONDS,,1 COUNT,1 PACK,POUCH,,11.68,,
999999996201,GREAT VALUE,ORGANIC CRANBERRIES SWEETENED DRIED PACK OF 6,,6 COUNT,6 PACK,BOX,6 OZ,2.98,,
999999996200,OCEAN SPRAY,DRIED CRANBERRIES THE ORIGINAL PACK OF 6,,6 COUNT,1 PACK,BOX,,,,
999999981999,OCEAN SPRAY,DRIED CRANBERRIES THE ORIGINAL,,1 COUNT,1 PACK,POUCH,24 OZ,,,
999999981998,CORN NUTS,CHILE PICANTE,,1 COUNT,1 PACK,POUCH,,,,
999999981997,GREAT VALUE,OMEGA 3 TRAIL MIX PACK OF 8 POUCHES,,8 COUNT,1 PACK,BOX,,,,
999999981996,CORN NUTS,RANCH,,1 COUNT,1 PACK,POUCH,,,,
999999981995,THE GOOD BEAN,CRUNCHY CHICKPEA SEA SALT,,1 COUNT,1 PACK,POUCH,6 OZ,,,
999999981993,OLD DOMINION,BUTTER TOFFEE PEANUTS,,1 COUNT,1 PACK,CANISTER,,,,
999999981992,CORN NUTS,ORIGINAL,,1 COUNT,1 PACK,POUCH,,,,
999999981991,SUPERIOR NUT COMPANY,SALTED PECANS,,1 COUNT,1 PACK,CANISTER,5.5 OZ,,,
999999981990,SUPERIOR NUT COMPANY,HONEY ROASTED PECANS,,1 COUNT,1 PACK,CANISTER,5.5 OZ,,,
999999981989,GIANTS,DILL PICKLE SUNFLOWER SEEDS,,1 COUNT,1 PACK,POUCH,12 OZ,2.98,,
999999981988,OLD DOMINION,BURNT SUGAR PECAN,,1 COUNT,1 PACK,CANISTER,4.5 0Z,,,
999999981987,OLD DOMINION,BURNT SUGAR PECAN,,1 COUNT,1 PACK,CANISTER,9 0Z,,,
999999981986,GREAT VALUE,PITTED DRIED PRUNES,,1 COUNT,1 PACK,CANISTER,18 OZ,2.42,,
999999981985,WONDERFUL,PISTACHIOS ROASTED AND SALTED,,1 COUNT,1 PACK,POUCH,24 OZ,8.48,,
999999981984,GREAT VALUE,MOUNTAIN TRAIL MIX ,FAMILY SIZE,1 COUNT,1 PACK,POUCH,40 OZ,7.98,,
999999981983,WHOLESOME MEDLEY,SNAXK MIX SWEET AND SAVOURY WITH GENTLE ROASTED NUTS,,5 COUNT,1 PACK,POUCH,,,WHITE BOX,
999999981982,CREATIVE SNACKS CO,ALMOND CLUSTERS PACKED WITH CRANEBERRIES AND CASHEWS,,1 COUNT,1 PACK,POUCH,4 OZ,,,
999999981981,CREATIVE SNACKS CO,ORGANIC COCONUT SNACKS,,1 COUNT,1 PACK,POUCH,4 OZ,,,
999999981980,CORN NUTS,ORIGINAL CRUNCHY CORN KERNELS,,1 COUNT,1 PACK,POUCH,7 OZ,,,
999999981978,PLANTERS P3,CHIPOTLE PEANUTS SUNFLOWER KERNELS AND ORIGINAL BEEF JERKEY,,3 COUNT,1 PACK,TRAY,,,,
999999981976,PIZOOTZ,FLAVORED INFUSED PREMIUM VIRGINIA ASIAN PEANUTS BAJA TACO,,1 COUNT,1 PACK,POUCH,5.75 OZ,,,
999999981971,PIZOOTZ,FLAVORED INFUSED PREMIUM VIRGINIA ASIAN PEANUTS NEW YORK DILL PICKLE,,1 COUNT,1 PACK,POUCH,5.75 OZ,,,
999999981870,PIZOOTZ,FLAVORED INFUSED PREMIUM VIRGINIA ASIAN PEANUTS HABANERO,,1 COUNT,1 PACK,POUCH,5.75 OZ,,,
999999981869,GREAT VALUE,DRIED BERRIES & GOLDEN RAISINS,,1 COUNT,1 PACK,POUCH,20 OZ,4.98,,
999999981865,GREAT VALUE,WHOLE ALMONDS,,1 COUNT,1 PACK,POUCH,,,,
999999981864,GREAT VALUE,TROPICAL FRUIT,,1 COUNT,1 PACK,POUCH,,,,
999999981861,KARS,SWEET N SALTY,,30 COUNT,1 PACK,BOX,,,YELLOOW BOX,
999999981860,GREAT VALUE,ROASTED & SALTED ALMONDS,,1 COUNT,1 PACK,POUCH,14 OZ,,YELLOW POUCH,
999999981859,BLUE DIAMOND,ALMONDS ON THE GO WHOLE NATURAL,,12 COUNT,1 PACK,BOX,7.2 OZ,5.34,,
999999981858,KARS,SWEET N SALTY MIX AMERICAN TRAIL MIX,,1 COUNT,1 PACK,POUCH,,,,
999999981856,GREAT VALUE,GREEK STYLE COCO YOGURT RAISINS,,6 COUNT,6 PACK,BOX,6 OZ,1.98,,
999999981852,ORCHARD FRESH,ALMONDS ROASTED AND SALTED,,1 COUNT,1 PACK,POUCH,,,,
999999981849,FISHER,CHOPPED WALNUTS,,1 COUNT,1 PACK,POUCH,,,,
999999981845,EMERALD,SALT & PEPPER CASHEWS,,1 COUNT,1 PACK,POUCH,,2.94,,
999999981844,EMERALD,GLAZED WANUT,,1 COUNT,1 PACK,POUCH,,,,
999999981843,KARS,SWEET N SALTY AMERICAS FAVORITE,,1 COUNT,1 PACK,POUCH,,,,
999999981829,GREAT VALUE,LIGHT BUTTER,,12 COUNT,1 PACK,BOX,,,,
999999981828,PLANTERS,LIGHTLY SALTED MIXED NUTS,,1 COUNT,1 PACK,CANISTER,,6.98,,
999999981808,BLUE DIAMOND,CRAFTED GOURMET ALMONDS PINK HIMALAYAN SALT,,1 COUNT,1 PACK,POUCH,10 OZ,6.98,,
999999981806,FISHER,HONEY ROASTED PEANUTS,,1 COUNT,1 PACK,JAR,14 OZ,,,
999999981805,DAVID,JUMBO SUNFLOWER SEEDS REDUCED SODIUM,,1 COUNT,1 PACK,POUCH,,,,
999999981803,GREAT VALUE,ROASTED & SALTED CASHEW HALVES & PIECES SEASONED WITH SEA SALT,,1 COUNT,1 PACK,CANISTER,,4.96,,
999999981781,BLUE DIAMOND,CRAFTED GOURMET ALMONDS ROSEMARY AND SEA SALT,,1 COUNT,1 PACK,POUCH,10 OZ,,,
999999981780,HAMPTON FARMS,SALTED ROASTED PEANUTS,,1 COUNT,1 PACK,POUCH,,,,
999999981779,PLANTERS,DRY ROASTED PEANUTS LIGHTLY SALTED,,1 COUNT,1 PACK,JAR,34.50 OZ,,,
999999981777,DAVID,JUMBO SUNFLOWER SEEDS ORIGINAL,,1 COUNT,1 PACK,POUCH,,,,
999999981776,BEER NUTS,CANTINA MIX,,1 COUNT,1 PACK,POUCH,20 OZ,,,
999999981775,PLANTERS,COCKTAIL PEANUTS,,1 COUNT,1 PACK,CANISTER,16 OZ,,,
999999981773,GREAT VALUE,PITTED DATES DEGLET NOOR,,1 COUNT,1 PACK,POUCH,8 OZ,2.88,,
999999981772,GREAT VALUE,ASIAN STYLE TRAIL MIX,,1 COUNT,1 PACK,POUCH,,,,
999999981768,WONDERFUL,PISTACHIOS SWEET CHILI,,1 COUNT,1 PACK,POUCH,2.5 OZ,,,
999999981767,GREAT VALUE,SWEETENED DRIED CRANBERRIES,,1 COUNT,1 PACK,POUCH,12 OZ,2.64,,
999999981766,EMERALD,NATURAL ALMONDS & WALNUT,,1 COUNT,1 PACK,POUCH,5 OZ,,,
999999981759,PLANTERS,MIXED NUTS less than 50 % peanuts,,1 COUNT,1 PACK,JAR,1LB 11 OZ,11.56,,
999999981758,GREAT VALUE,DRY ROASTED & UNSALTED PEANUTS,,1 COUNT,1 PACK,JAR,16 OZ,2.48,,
999999981757,PLANTERS,MIXED NUTS less than 50 % peanuts sea salt,,1 COUNT,1 PACK,CANISTER,56 OZ,16.98,,
999999981732,PLANTERS,MACADAMIA,,1 COUNT,1 PACK,JAR,,5.62,,
999999981730,PLANTERS,CASHEWS HALVES & PIECES LIGHTLY SALTED,,1 COUNT,1 PACK,CANISTER,,8.34,,
999999981728,EMERALD,DRY ROASTED ALMOND 100 CALORIE PACK,+3 MORE PACKS,10 COUNT,1 PACK,BOX,,4.74,,
999999981702,GREAT VALUE,LIGHTLY SALTED COCKTAIL PEANUTS,,1 COUNT,1 PACK,CANISTER,16 OZ,,,
999999981701,BLUE DIAMOND,ALMONDS LIGHTLY SALTED SEA SALT,LOW SODIUM,1 COUNT,1 PACK,POUCH,,6.98,,
999999981700,GREAT VALUE,ROASTED & LIGHTLY SALTED MIXED NUTS,,1 COUNT,1 PACK,CANISTER,14.75 OZ,5.42,,
999999981697,SUNSWEET,AMAZIN PRUNES PITTED,,1 COUNT,1 PACK,CANISTER,16 OZ,6.31,,
999999981696,MEDALLION,SALTED LESS THAN 70% PEANUTS MIXED NUTS,,1 COUNT,1 PACK,CANISTER,8 OZ,,,
999999981694,MEDALLION,ROASTED & SALTED CASHEW HALVES & PIECES,,1 COUNT,1 PACK,CANISTER,5 OZ,,,
999999981693,GREAT VALUE,ORGANIC RAW WHOLE CASHEWS,,1 COUNT,1 PACK,POUCH,14 OZ,8.98,,
999999981691,PLANTERS,ROASTED PECANS,,1 COUNT,1 PACK,CANISTER,7.25 OZ,5.98,,
999999981689,GREAT VALUE,ROASTED & SALTED SHELLED PISTACHIOS ,,1 COUNT,1 PACK,POUCH,12 OZ,,,
999999981687,ORCHARD FRESH,ALMONDS WHOLE NATURAL ,,1 COUNT,1 PACK,POUCH,20 OZ,,,
999999981684,OCEAN SPRAY,CRAISINS DRIED CRANBERRIES,,3 COUNT,1 PACK,BOX,,,,
999999981683,GREAT VALUE,SUND RIED RAISINS ,,1 COUNT,1 PACK,BOX,12 OZ,,,
999999981682,BIGS,DILL PICKLE SUNFLOWER SEEDS,,1 COUNT,1 PACK,POUCH,5.35 OZ,1.58,,
999999981681,SUN MAID,CALIFORNIA SUN DRIED RAISINS,,1 COUNT,1 PACK,BOX,12 OZ,2.32,,
999999981680,PLANTERS,COCKTAIL PEANUTS,,1 COUNT,1 PACK,JAR,35 OZ,5.98,,
999999981677,GREAT VALUE,ROASTED & LIGHTLY SALTED CASHWES HALVES & PIECES,,1 COUNT,1 PACK,CANISTER,12 OZ,,,
999999981676,EMERALD,NATURAL WALNUTS & ALMONDS WITH DRIED CHERRIES 100 CALORIE PACKS,+3 MORE PACKS,10 COUNT,1 PACK,BOX,,,,
999999981675,EMERALD,NATURAL CASHEWS & ALMONDS WITH DRIED CRANBERRIES 100 CALORIE PACKS,+3 MORE PACKS,10 COUNT,1 PACK,BOX,,,,
999999981674,EMERALD,NATURAL ALMONDS & WALNUT 100 CALORIE PACKS,+3 MORE PACKS,10 COUNT,1 PACK,BOX,,,,
999999981596,PLANTERS,MIXED NUTS,,1 COUNT,1 PACK,CANISTER,15 OZ,,,
999999981595,PLANTERS,FANCY WHOLE CASHEWS WITH SEA SALT,,1 COUNT,1 PACK,JAR,33 OZ,18.98,,
999999981593,GREAT VALUE,DRIED MISSION FIGS,,1 COUNT,1 PACK,POUCH,7 OZ,1.98,,
999999981592,SUN MAID,RAISINS SNACKS 12 MINI BOX,,12 COUNT,12 PACK,POUCH,,,,
999999981591,SAHALE SNACKS,MAPLE PECANS GLAZED MIX,,1 COUNT,1 PACK,POUCH,4 OZ,,,
999999981590,BLUE DIAMOND,BOLD ALMONDS SWEET THAI CHILI,,1 COUNT,1 PACK,CANISTER,6 OZ,3.69,,
999999981589,GREAT VALUE,ROASTED & SALTED COCKTAIL PEANUTS SEASONED WITH SEA SALT,,1 COUNT,1 PACK,CANISTER,16 OZ,2.48,,
999999981588,GREAT VALUE,ROASTED & SALTED PISTACHIOS ,,1 COUNT,1 PACK,POUCH,16 OZ,6.98,,
999999981587,POWER UP,MEGA OMEGA TRAIL MIX,,1 COUNT,1 PACK,POUCH,14 OZ,4.98,,
999999981586,POWER UP,PROTEIN PACKED TRAIL MIX,,1 COUNT,1 PACK,POUCH,14 OZ,4.98,,
999999981585,POWER UP,HIGH ENERGY TRAIL MIX,,1 COUNT,1 PACK,POUCH,14 OZ,,,
999999981584,GREAT VALUE,SIMPLY ACTIVE TRAIL MIX,,1 COUNT,1 PACK,POUCH,26 OZ,6.98,,
999999981583,GREAT VALUE,OMEGA 3 TRAIL MIX,,1 COUNT,1 PACK,POUCH,22 OZ,6.98,,
999999981582,GREAT VALUE,DRY ROASTED & LIGHTLY SALTED ALMONDS,,1 COUNT,1 PACK,POUCH,25 OZ,9.48,,
999999981581,BIGS,SIMPLY SALTED PUMPKIN SEEDS,,1 COUNT,1 PACK,POUCH,5 OZ,2.44,,
999999981580,GREAT VALUE,CHEESY BBQ TRAIL MIX,,1 COUNT,1 PACK,POUCH,21 OZ,4.98,,
999999981578,GREAT VALUE,HONEY ROASTED PEANUTS,,1 COUNT,1 PACK,JAR,16 OZ,2.62,,
999999981577,GREAT VALUE,HONEY ROASTED CASHEWS,,1 COUNT,1 PACK,CANISTER,8.25 OZ,4.96,,
999999981576,GREAT VALUE,ORGANIC RAISINS,,1 COUNT,1 PACK,CANISTER,12 OZ,3.42,,
999999981575,SUN MAID,CALIFORNIA SUN DRIED RAISINS,,1 COUNT,1 PACK,POUCH,,,,
999999981574,SUN MAID,100 CALORIE PER OUNCE GOLDEN RAISINS,,6 COUNT,6 PACK,BOX,,,,
999999981573,GREAT VALUE,SUN DRIED RAISINS,,6 COUNT,6 PACK,BOX,6 OZ,1.98,,
999999981572,GREAT VALUE,GREEK STYLE YOGURT RAISINS,,6 COUNT,6 PACK,BOX,6 OZ,2.28,,
999999981570,SUN MAID,VANILLA YOGURT RAISINS,,6 COUNT,6 PACK,BOX,,3.12,,
999999981568,GREAT VALUE,ROASTED & SALTED CASHEW HALVES & PIECES,,1 COUNT,1 PACK,JAR,,,,
999999981567,PLANTERS,DRY ROASTED PEANUTS,,1 COUNT,1 PACK,CANISTER,52 OZ,7.98,,
999999981563,WONDERFUL,NO SHELLS ROASTED AND SALTED,,1 COUNT,1 PACK,POUCH,12 OZ,9.98,,
999999981562,PLANTERS,WALNUTS,,1 COUNT,1 PACK,CANISTER,7.25 OZ,6.48,,
999999981560,MAUNA LOA,MAUII ONION & GARLIC MACADAMIAS,,1 COUNT,1 PACK,CANISTER,4.5 OZ,,,
999999981559,MAUNA LOA,HONEY ROASTED MACADAMIAS,,1 COUNT,1 PACK,CANISTER,4.5 OZ,,,
999999981557,PLANTERS,CRUNCHERS MESQUITE BARBECUE,,1 COUNT,1 PACK,POUCH,7 OZ,2.98,,
999999981556,PLANTERS,CRUNCHERS HOT N SPICY,,1 COUNT,1 PACK,POUCH,,,,
999999981555,EMERALD,100 CALORIE PACKS CASHEWS ROASTED AND SALTED,+3 MORE PACKS,10 COUNT,1 PACK,BOX,,,,
999999981553,SAHALE SNACKS,POMERGRANATE VANILLA CASHEWS GLAZED MIX,,1 COUNT,1 PACK,POUCH,4 OZ,,,
999999981552,SAHALE SNACKS,TANGERINE VANILLA CASHEW MACADAMIA,,1 COUNT,1 PACK,POUCH,4 OZ,,,
999999981551,GREAT VALUE,SRIRACHA CASHEWS  NATURALLY FLAVORED,,1 COUNT,1 PACK,CANISTER,8.50 oz,4.96,,
999999981550,PLANTERS,HONEY ROASTED PEANUTS,,1 COUNT,1 PACK,JAR,34.50 OZ,5.98,,
999999981549,PLANTERS,DRY ROASTED PEANUTS LIGHTLY SALTED,,1 COUNT,1 PACK,JAR,16 OZ,5.98,,
999999981548,PLANTERS,DRY ROASTED PEANUTS,,1 COUNT,1 PACK,JAR,16 OZ,5.98,,
999999981546,SECOND NATURE,WHOLESOME MEDLEY,,5 COUNT,1 PACK,BOX,,,,
999999981545,GREAT VALUE,TROPICAL TRAIL MIX,,8 COUNT,1 PACK,BOX,14 OZ,,,
999999981544,PEANUT PATCH,ORIGINAL BOILED PEANUTS,,1 COUNT,1 PACK,CANISTER,,,,
999999981543,PLANTERS,REDSKIN SPANISH PEANUTS,,1 COUNT,1 PACK,CANISTER,12.5 OZ,3.18,,
999999815342,BLUE DIAMOND,ALMONDS BOLD HABANERO BBQ,,1 COUNT,1 PACK,POUCH,14 OZ,6.98,,
999999981541,BLUE DIAMOND,ALMONDS ROASTED SALTED,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981540,BLUE DIAMOND,CRAFTED GOURMET ALMONDS GARLIC HERB AND OLIVE OIL,,1 COUNT,1 PACK,POUCH,10 OZ,6.98,,
999999981539,BLUE DIAMOND,ALMONDS ON THE GO LIGHTLY SALTED,,12 COUNT,1 PACK,BOX,7.2 OZ,5.34,,
999999981537,BLUE DIAMOND,ALMONDS HONEY ROASTED,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981536,GREAT VALUE,SUN DRIED RAISINS,,1 COUNT,1 PACK,CANISTER,20 OZ,3.68,,
999999981535,SUN MAID,CALIFORNIA SUN DRIED RAISINS,,1 COUNT,1 PACK,CANISTER,22.58 OZ,3..98,,
999999981534,SUN MAID,CALIFORNIA GOLDEN RAISINS,,1 COUNT,1 PACK,BOX,15 OZ,3.82,,
999999981533,PLANTERS,NUT -RITION ESSENTIAL NUTRIENTS MIX,,1 COUNT,1 PACK,POUCH,5.5 OZ,3.48,,
999999981532,GREAT VALUE,DELUXE MIXED NUTS LIGHTLY SALTED,,1 COUNT,1 PACK,CANISTER,15.25 OZ,8.24,,
999999981531,PLANTERS,BRITTLE NUT MEDLEY,LIMITED EDITION,1 COUNT,1 PACK,CANISTER,19.25 OZ,4.20,,
999999981529,MEDALLION,SALTED MIXED PEANUTS,,1 COUNT,1 PACK,CANISTER,9 OZ,2.00,,
999999981526,GREAT VALUE ORGANIC,ROASTED & SALTED WHOLE CASHEWS,,1 COUNT,1 PACK,POUCH,14 OZ,8.98,,
999999981525,PLANTERS,NUT -RITION ANTIOXIDANTS MIX,,1 COUNT,1 PACK,POUCH,5.5 OZ,3.48,,
999999981524,EMERALD,NATURAL ALMONDS 100 CALORIE PACKS,+3 MORE PACKS,10 COUNT,1 PACK,BOX,,,,
999999981523,PLANTERS,NUT -RITION HEALTHY HEART MIX,,1 COUNT,1 PACK,CANISTER,18.25 OZ,9.98,,
999999981522,PLANTERS,SALTED PEANUTS,,10 COUNT,1 PACK,BOX,10 OZ,2.98,,
999999981521,PEANUT PATCH,CAJUN BOILED PEANUTS,,1 COUNT,1 PACK,CANISTER,13.5 OZ,,,
999999981518,GREAT VALUE,ASIAN NUT CRUNCH TRAIL MIX,,1 COUNT,1 PACK,POUCH,,,,
999999981517,GREAT VALUE,BREAKFAST BLEND TRAIL MIX,,1 COUNT,1 PACK,POUCH,22 OZ,6.98,,
999999981516,GREAT VALUE,MOUNTAIN TRAIL MIX ,,1 COUNT,1 PACK,POUCH,26 OZ,5.38,,
999999981515,GREAT VALUE,CAJUN STYLE PISTACHIOS,,1 COUNT,1 PACK,POUCH,,,,
999999981500,GREAT VALUE,SMOKE FLAVORED ALMONDS,,1 COUNT,1 PACK,POUCH,14 OZ,5.94,,
999999981499,GREAT VALUE,CINNAMMON ROASTED ALMONDS,,1 COUNT,1 PACK,POUCH,14 OZ,5.94,,
999999981498,GREAT VALUE,DELUXE INDULGENT TRAIL MIX,,1 COUNT,1 PACK,POUCH,22 OZ,6.98,,
999999981497,SUPERIOR NUT COMPANY,SALTED ROASTED PECANS,,1 COUNT,1 PACK,CANISTER,5.5 OZ,4.42,,
999999981496,BLUE DIAMOND,ALMONDS LIGHTLY SALTED,LOW SODIUM,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981495,GREAT VALUE,PRALINE PECANS,,1 COUNT,1 PACK,POUCH,6 OZ,4.98,,
999999981494,PLANTERS,NUT -RITION HEALTHY HEART MIX,,7 COUNT,1 PACK,BOX,7.5 OZ,5.84,,
999999981493,GREAT VALUE,DELUXE MIXED NUTS SALTED,,1 COUNT,1 PACK,CANISTER,15.25 OZ,8.24,,
999999981492,BLUE DIAMOND,ALMONDS BOLD SALT N VINEGAR,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981491,BLUE DIAMOND,ALMOND SMOKEHOUSE,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981490,WONDERFUL,PISTACHIOS ROASTED AND SALTED,,9 COUNT,1 PACK,BOX,13.5 OZ,6.94,,
999999981489,WONDERFUL,PISTACHIOS LIGHTLY SALTED,,1 COUNT,1 PACK,POUCH,16 OZ,,,
999999981488,WONDERFUL,PISTACHIOS NO SALT,,1 COUNT,1 PACK,POUCH,16 OZ,,,
999999981487,WONDERFUL,PISTACHIOS NO SALT,,1 COUNT,1 PACK,POUCH,8 OZ,3.94,,
999999981486,WONDERFUL,PISTACHIOS SALT AND PEPPER,,1 COUNT,1 PACK,POUCH,7 OZ,3.94,,
999999981485,MAUNA LOA,DRY ROASTED MACADAMIAS WITH SEA SALT,,1 COUNT,1 PACK,CANISTER,4.5 OZ,,,
999999981484,SUPERIOR NUT COMPANY,DELICIOUS HONEY ROASTED PECANS,,1 COUNT,1 PACK,CANISTER,5.5 OZ,4.42,,
999999981483,PLANTERS,NUT -RITION SNACK NUT AND DRIED FRUIT MIX ENERGY,,1 COUNT,1 PACK,POUCH,5.5 OZ,3.48,,
999999981481,GREAT VALUE,TEX MEX TRAIL MIX,,1 COUNT,1 PACK,JAR,28 OZ,7.24,,
999999981480,GREAT VALUE,CARAMEL CASHEW TRAIL MIX,,1 COUNT,1 PACK,JAR,36 OZ,9.98,,
999999981479,WONDERFUL,PISTACHIOS ROASTED AND SALTED,,1 COUNT,1 PACK,POUCH,,3.94,,
999999981478,PLANTERS,DELUXE MIXED NUTS WITH SEA SALT,,1 COUNT,1 PACK,JAR,34 OZ,17.98,,
999999981477,PLANTERS,MIXED NUTS,,1 COUNT,1 PACK,CANISTER,10 OZ,,,
999999981475,PLANTERS,CASHEWS HALVES AND PIECES,,1 COUNT,1 PACK,CANISTER,14 OZ,8.38,,
999999981461,GREAT VALUE,JUMBO SUNFLOWER SEEDS ORIGINAL,,1 COUNT,1 PACK,POUCH,,,,
999999981452,PLANTERS,HONEY ROASTED PEANUTS,,10 COUNT,1 PACK,BOX,,,,
999999981451,GREAT VALUE,ROCKY ROAD TRAIL MIX,,1 COUNT,1 PACK,POUCH,23 OZ,5.38,,
999999981450,BEER NUTS,ORIGINAL BAR MIX,,1 COUNT,1 PACK,POUCH,32 OZ,6.98,,
999999981449,GREAT VALUE,MOUNTAIN TRAIL MIX ,VALUE PACK,18 COUNT,1 PACK,BOX,31.50 OZ,,,
999999981448,GREAT VALUE,DAILY BOOST TRAIL MIX,,1 COUNT,1 PACK,POUCH,22 OZ,6.98,,
999999981447,GREAT VALUE,NUT & HONEY TRAIL MIX,,1 COUNT,1 PACK,POUCH,26 OZ,6.98,,
999999981446,GOURMET,SOUTHERN STYLE HUNTER MIX,,1 COUNT,1 PACK,JAR,30 OZ,8.94,,
999999981445,PLANTERS,SELECT CASHEWS ALMONDS AND PECANS,,1 COUNT,1 PACK,CANISTER,15.25 OZ,,,
999999981444,GREAT VALUE,NATURAL WALNUT HALVES & PIECES,,1 COUNT,1 PACK,CANISTER,7.25 OZ,3.24,,
999999981443,PLANTERS,NUT -RITION MEN’S HEALTH RECOMMENDED MIX,,7 COUNT,1 PACK,BOX,7.50 OZ,5.48,,
999999981442,PLANTERS,NUT -RITION WHOLESOME NUT MIX ,,7 COUNT,1 PACK,BOX,7.50 OZ,5.48,,
999999981441,OCEAN SPRAY,CRAISINS DRIED CRANBERRIES GREEK YOGURT ,,1 COUNT,1 PACK,POUCH,8 OZ,,,
999999981440,GREAT VALUE,DELUXE WHOLE CASHEWS SALTED,,1 COUNT,1 PACK,CANISTER,16 OZ,,,
999999981439,GREAT VALUE,DELUXE WHOLE CASHEWS UNSALTED,,1 COUNT,1 PACK,CANISTER,16 OZ,9.32,,
999999981438,PLANTERS,CASHEW HALVES & PIECES,,1 COUNT,1 PACK,CANISTER,8 OZ,6.38,,
